zona,tier,p,q,lat,lon,HE,FN_buruk
573-A,1,73,0.25,-9.0,119.0,-0.03961106806030701,0.18604651162790697
573-A,1,74,0.25,-7.0,106.0,-0.06601459767737361,0.13636363636363635
573-A,1,74,0.25,-7.5,106.0,-0.04354783935896234,0.08695652173913043
573-A,1,74,0.25,-7.5,106.5,0.1100832078942966,0.1111111111111111
573-A,1,74,0.25,-7.5,107.0,0.06820031540695093,0.05128205128205128
573-A,1,74,0.25,-7.5,107.5,0.06018115756614317,0.0851063829787234
573-A,1,74,0.25,-8.0,107.5,0.1586578332536438,0.0851063829787234
573-A,1,74,0.25,-8.0,108.0,0.2688291639280729,0.09090909090909091
573-A,1,74,0.25,-8.0,108.5,0.2051274402324823,0.08333333333333333
573-A,1,74,0.25,-8.0,109.0,0.2325865005694473,0.09523809523809523
573-A,1,74,0.25,-8.0,109.5,0.2717316474956305,0.08695652173913043
573-A,1,74,0.25,-8.5,109.5,0.21297499257478936,0.1111111111111111
573-A,1,74,0.25,-8.5,110.0,0.2365424733384025,0.09090909090909091
573-A,1,74,0.25,-8.5,110.5,0.27770628181769874,0.08888888888888889
573-A,1,74,0.25,-8.5,111.0,0.3076190900054889,0.09302325581395349
573-A,1,74,0.25,-8.5,111.5,0.3350379646079227,0.07317073170731707
573-A,1,74,0.25,-8.5,112.0,0.3245606451692581,0.08695652173913043
573-A,1,74,0.25,-8.5,112.5,0.350139075570142,0.06976744186046512
573-A,1,74,0.25,-8.5,113.0,0.4124696195625216,0.10638297872340426
573-A,1,74,0.25,-8.5,113.5,0.3923327675078505,0.09090909090909091
573-A,1,74,0.25,-8.5,114.0,0.3681195464133775,0.06818181818181818
573-A,1,74,0.25,-8.5,114.5,0.16049418059094278,0.1111111111111111
573-A,1,74,0.25,-8.5,115.5,0.20860135246577605,0.09302325581395349
573-A,1,74,0.25,-9.0,114.5,0.30729969826678827,0.09090909090909091
573-A,1,74,0.25,-9.0,115.0,0.2705299992966166,0.11363636363636363
573-A,1,74,0.25,-9.0,115.5,0.2531467764285389,0.09090909090909091
573-A,1,74,0.25,-9.0,117.0,0.08641980710177022,0.09302325581395349
573-A,1,74,0.25,-9.0,117.5,0.13095211457040024,0.11363636363636363
573-A,1,74,0.25,-9.0,118.0,0.13918865437018957,0.11363636363636363
573-A,1,74,0.25,-9.0,118.5,0.19103180303973644,0.12195121951219512
573-A,1,74,0.25,-9.0,119.0,0.09767168575664542,0.13953488372093023
573-A,1,75,0.25,-7.0,106.0,0.038030791052273916,0.13636363636363635
573-A,1,75,0.25,-7.5,106.0,0.05038557664790655,0.10869565217391304
573-A,1,75,0.25,-7.5,106.5,0.19798461281150692,0.1111111111111111
573-A,1,75,0.25,-7.5,107.0,0.19270256625145643,0.05128205128205128
573-A,1,75,0.25,-7.5,107.5,0.1702829947290314,0.10638297872340426
573-A,1,75,0.25,-8.0,107.5,0.2522285124533312,0.10638297872340426
573-A,1,75,0.25,-8.0,108.0,0.3212694489020901,0.09090909090909091
573-A,1,75,0.25,-8.0,108.5,0.2700992127119549,0.08333333333333333
573-A,1,75,0.25,-8.0,109.0,0.29444965178040483,0.09523809523809523
573-A,1,75,0.25,-8.0,109.5,0.3256672524159242,0.08695652173913043
573-A,1,75,0.25,-8.5,109.5,0.27966906078639386,0.08888888888888889
573-A,1,75,0.25,-8.5,110.0,0.2815503694605289,0.11363636363636363
573-A,1,75,0.25,-8.5,110.5,0.32932837896539546,0.08888888888888889
573-A,1,75,0.25,-8.5,111.0,0.3557565238031659,0.09302325581395349
573-A,1,75,0.25,-8.5,111.5,0.37059786765252367,0.0975609756097561
573-A,1,75,0.25,-8.5,112.0,0.3673809141544503,0.10869565217391304
573-A,1,75,0.25,-8.5,112.5,0.38744152408051513,0.09302325581395349
573-A,1,75,0.25,-8.5,113.0,0.45509647338921666,0.10638297872340426
